Date,vibration_sigstats_ClearanceFactor,vibration_sigstats_CrestFactor,vibration_sigstats_ImpulseFactor,vibration_sigstats_Kurtosis,vibration_sigstats_RMS,vibration_sigstats_ShapeFactor,vibration_sigstats_Std,vibration_sigstats_SKMean,vibration_sigstats_SKStd,vibration_sigstats_SKKurt,vibration_ps_spec_BandPower
07-Mar-2013 01:57:46,7.27147916386859,4.91473462910791,6.16070325426134,2.99561210988058,2.29670156617365,1.25351696870347,2.27048342860463,0.00130073366689649,0.0257500275148871,3.33918950496473,2.64246305139068
08-Mar-2013 02:34:21,7.27461113333369,4.91379865427582,6.16184995422774,3.00753448710442,2.18662191294009,1.25398919039011,2.16631568446643,0.00296325507375612,0.0233094913119196,3.34427917262428,2.40178128143009
09-Mar-2013 02:33:43,7.42305438915886,5.01397575296545,6.28736251979122,3.01248820706246,2.16271264787726,1.25396836688101,2.14539533551785,0.00161103298050342,0.0231103071564261,3.88724433204497,2.34900001671804
10-Mar-2013 03:01:02,7.52758314729783,5.08199197947361,6.37478393522755,3.01973031568888,2.12688555207546,1.25437133432185,2.1110627699462,0.00338666454722439,0.0259543165928854,4.955565640405,2.27274202818119
11-Mar-2013 03:00:24,7.57463335482676,5.11263875085996,6.41426202822679,3.02467899694043,2.11586200228717,1.2545721731204,2.10096304894774,0.00542530956910489,0.0271924623803047,4.73738311165183,2.24756206160978
12-Mar-2013 06:17:10,7.49529103987781,5.05996093765917,6.34748122589959,3.02356520849606,2.11317176689453,1.25443080888514,2.09732406777583,0.00481179593691454,0.0273808247936206,4.58161174173041,2.24095250956992
13-Mar-2013 06:34:04,7.47987608585144,5.04911332715734,6.33417064673015,3.02719800775953,2.06096200743745,1.25449000588404,2.04757386118241,0.00524024390117539,0.0279710770349785,5.38243401982279,2.12917164119742
14-Mar-2013 06:50:41,7.47774070576391,5.04838435228143,6.33259034822246,3.02491305540864,2.01950308836124,1.25435435768792,2.00578754142444,0.00468746851308898,0.0282411920840761,5.30173262485054,2.0480277027759
15-Mar-2013 06:50:03,7.53619842716869,5.08471093156859,6.38073270772046,3.0330274979213,2.00174126924263,1.25483141089428,1.98808389045856,0.00525783077851806,0.0324214183018004,7.85164843373345,2.01076937824188
16-Mar-2013 06:56:43,7.4752820291824,5.04508458908379,6.32962822189868,3.0273137810917,1.99815012222993,1.25456390737808,1.98410719813468,0.00506728013538339,0.0317420283601359,7.15800350140391,2.00344154171899
17-Mar-2013 06:56:04,7.54214974242083,5.08683539118883,6.3850657764639,3.04068631805804,2.00687393111499,1.2551152686294,1.99285360311075,0.00421368070090544,0.03270047392616,8.43405207886112,2.02247893206541
17-Mar-2013 18:47:56,7.67748501182503,5.17406737866002,6.49778505469435,3.0532584229526,2.01396882365876,1.25574580732677,2.00191658869285,0.00718198252438056,0.0371924770583198,10.7376046387266,2.0368831614211
18-Mar-2013 18:47:15,7.91805307511704,5.33051136478011,6.69935298142385,3.07780549693839,2.03999723540486,1.25667996024818,2.02797922980632,0.00924855211562221,0.0430748743049796,11.3232034499114,2.09018033960432
20-Mar-2013 00:33:54,8.01419410494757,5.39194397841244,6.77941726642096,3.0904596556138,2.11569016697934,1.25725782499239,2.10167209470846,0.00921476250561992,0.0479269741128833,12.0245347805093,2.24589642638046
21-Mar-2013 00:33:14,8.17311777082422,5.49524526163565,6.91250535212717,3.10441714860103,2.14538913037576,1.25779650855259,2.13181295542008,0.00948866492832086,0.0510146855375468,10.6714819229303,2.30819440268033
22-Mar-2013 00:39:50,8.46672309815098,5.68307756444037,7.15762253253064,3.14806850882872,2.17837321965939,1.25934787684029,2.16546350902943,0.0116584750557978,0.0588974280982339,11.852382678957,2.3774341990683
23-Mar-2013 00:39:11,8.55616771735956,5.73421505673837,7.22975575624359,3.18525766993313,2.19239848816547,1.26068878687116,2.17967409752659,0.0149977889437441,0.0680910667155092,12.018743894635,2.40792181738981
24-Mar-2013 00:45:49,8.5612470909688,5.73725081503677,7.23403264931317,3.1878739863176,2.20808989855951,1.26077484714523,2.19232040347036,0.0134948041798258,0.0657888417071525,10.2967110958633,2.44361776009033
25-Mar-2013 00:45:12,8.28404647845266,5.55482710638611,7.00090799821433,3.16620307039232,2.17444073785928,1.26005768952987,2.15888795939937,0.0126746647006075,0.060565406902919,9.90843396728982,2.37553873102472
26-Mar-2013 01:41:50,8.30637401422459,5.56949187839611,7.01963719932429,3.16793634864695,2.16804849085414,1.26011246985988,2.15471253212433,0.0151556163717608,0.0575320474876712,9.41048547299208,2.36160274435975
27-Mar-2013 03:58:27,8.09903465277159,5.43113948273141,6.84473042264258,3.16512840578337,2.12860341727683,1.26000143285762,2.1122431647488,0.0166685241787008,0.0563240294564339,9.78356080601396,2.27994235044613
28-Mar-2013 09:55:31,7.8321233992194,5.25587411443764,6.62017117430105,3.1421521110064,2.1393080461536,1.25938675532837,2.12163770362651,0.0169651490508683,0.051592812972748,9.43540345628128,2.30440410929676
29-Mar-2013 09:55:05,7.80786815660423,5.24943267019654,6.60337787476178,3.10228068577116,2.11773000568726,1.25788625585797,2.10005714113515,0.016646132556252,0.0491390586979256,11.0988635729638,2.25839995615705
30-Mar-2013 10:01:42,7.83335958648248,5.26418465938856,6.62418405039083,3.11098557779963,2.08410275855256,1.25830047248621,2.06933838746193,0.0176317703678462,0.0516776896731938,11.3300369565854,2.18607118873346
31-Mar-2013 19:38:18,7.99323562514001,5.36905494252072,6.75843887802219,3.12285721421949,2.1192886960904,1.25879349630789,2.10374112856719,0.0179217917001944,0.053594022940314,11.434872089035,2.25802037403223
01-Apr-2013 19:37:39,7.98419782799041,5.36561890228725,6.75199036621555,3.11506038663018,2.0603587289435,1.25839534814156,2.04603958327747,0.0178281893084759,0.054225703932463,12.3024577507505,2.13547549014372
02-Apr-2013 19:44:15,8.41723892306516,5.63392470937602,7.11034074061749,3.21148047908201,2.09352818935116,1.26138988602479,2.0820632823298,0.0250384578556268,0.0752197865334324,12.5355091175931,2.20388079367875
03-Apr-2013 21:29:42,8.53209687708824,5.70124979385676,7.20346226611678,3.24748353414769,2.10835280734246,1.26289489890887,2.09743002013501,0.0259451866323475,0.0821630876794093,12.7276307412817,2.23846720794724
04-Apr-2013 21:29:01,8.45862237408583,5.6444268751568,7.13840230928918,3.27585093612631,2.12990261417909,1.26407866958246,2.11907175464999,0.0286323399817141,0.0911959931533735,12.9937136376733,2.28511954263188
05-Apr-2013 21:35:37,8.55783962577287,5.70127442383847,7.21802427263803,3.3085395694836,2.16699563593482,1.26545963929142,2.15610399883008,0.0341480491991835,0.103091782988835,13.9147319665826,2.36558006241422
