Date,vibration_sigstats_ClearanceFactor,vibration_sigstats_ImpulseFactor,vibration_sigstats_Kurtosis,vibration_sigstats_ShapeFactor,vibration_sigstats_SKMean,vibration_sigstats_SKStd
07-Mar-2013 01:57:46,7.27147916386859,6.16070325426134,2.99561210988058,1.25351696870347,0.00130073366689649,0.0257500275148871
08-Mar-2013 02:34:21,7.27461113333369,6.16184995422774,3.00753448710442,1.25398919039011,0.00296325507375612,0.0233094913119196
09-Mar-2013 02:33:43,7.42305438915886,6.28736251979122,3.01248820706246,1.25396836688101,0.00161103298050342,0.0231103071564261
10-Mar-2013 03:01:02,7.52758314729783,6.37478393522755,3.01973031568888,1.25437133432185,0.00338666454722439,0.0259543165928854
11-Mar-2013 03:00:24,7.57463335482676,6.41426202822679,3.02467899694043,1.2545721731204,0.00542530956910489,0.0271924623803047
12-Mar-2013 06:17:10,7.49529103987781,6.34748122589959,3.02356520849606,1.25443080888514,0.00481179593691454,0.0273808247936206
13-Mar-2013 06:34:04,7.47987608585144,6.33417064673015,3.02719800775953,1.25449000588404,0.00524024390117539,0.0279710770349785
14-Mar-2013 06:50:41,7.47774070576391,6.33259034822246,3.02491305540864,1.25435435768792,0.00468746851308898,0.0282411920840761
15-Mar-2013 06:50:03,7.53619842716869,6.38073270772046,3.0330274979213,1.25483141089428,0.00525783077851806,0.0324214183018004
16-Mar-2013 06:56:43,7.4752820291824,6.32962822189868,3.0273137810917,1.25456390737808,0.00506728013538339,0.0317420283601359
17-Mar-2013 06:56:04,7.54214974242083,6.3850657764639,3.04068631805804,1.2551152686294,0.00421368070090544,0.03270047392616
17-Mar-2013 18:47:56,7.67748501182503,6.49778505469435,3.0532584229526,1.25574580732677,0.00718198252438056,0.0371924770583198
18-Mar-2013 18:47:15,7.91805307511704,6.69935298142385,3.07780549693839,1.25667996024818,0.00924855211562221,0.0430748743049796
20-Mar-2013 00:33:54,8.01419410494757,6.77941726642096,3.0904596556138,1.25725782499239,0.00921476250561992,0.0479269741128833
21-Mar-2013 00:33:14,8.17311777082422,6.91250535212717,3.10441714860103,1.25779650855259,0.00948866492832086,0.0510146855375468
22-Mar-2013 00:39:50,8.46672309815098,7.15762253253064,3.14806850882872,1.25934787684029,0.0116584750557978,0.0588974280982339
23-Mar-2013 00:39:11,8.55616771735956,7.22975575624359,3.18525766993313,1.26068878687116,0.0149977889437441,0.0680910667155092
24-Mar-2013 00:45:49,8.5612470909688,7.23403264931317,3.1878739863176,1.26077484714523,0.0134948041798258,0.0657888417071525
25-Mar-2013 00:45:12,8.28404647845266,7.00090799821433,3.16620307039232,1.26005768952987,0.0126746647006075,0.060565406902919
26-Mar-2013 01:41:50,8.30637401422459,7.01963719932429,3.16793634864695,1.26011246985988,0.0151556163717608,0.0575320474876712
27-Mar-2013 03:58:27,8.09903465277159,6.84473042264258,3.16512840578337,1.26000143285762,0.0166685241787008,0.0563240294564339
28-Mar-2013 09:55:31,7.8321233992194,6.62017117430105,3.1421521110064,1.25938675532837,0.0169651490508683,0.051592812972748
29-Mar-2013 09:55:05,7.80786815660423,6.60337787476178,3.10228068577116,1.25788625585797,0.016646132556252,0.0491390586979256
30-Mar-2013 10:01:42,7.83335958648248,6.62418405039083,3.11098557779963,1.25830047248621,0.0176317703678462,0.0516776896731938
31-Mar-2013 19:38:18,7.99323562514001,6.75843887802219,3.12285721421949,1.25879349630789,0.0179217917001944,0.053594022940314
01-Apr-2013 19:37:39,7.98419782799041,6.75199036621555,3.11506038663018,1.25839534814156,0.0178281893084759,0.054225703932463
02-Apr-2013 19:44:15,8.41723892306516,7.11034074061749,3.21148047908201,1.26138988602479,0.0250384578556268,0.0752197865334324
03-Apr-2013 21:29:42,8.53209687708824,7.20346226611678,3.24748353414769,1.26289489890887,0.0259451866323475,0.0821630876794093
04-Apr-2013 21:29:01,8.45862237408583,7.13840230928918,3.27585093612631,1.26407866958246,0.0286323399817141,0.0911959931533735
